player_Marco-Etcheverry_Club	player_Marco-Etcheverry	player_Club
player_Marco-Etcheverry_POS	player_Marco-Etcheverry	player_POS
player_Marco-Etcheverry_GP	player_Marco-Etcheverry	player_GP
player_Marco-Etcheverry_GS	player_Marco-Etcheverry	player_GS
player_Marco-Etcheverry_A	player_Marco-Etcheverry	player_A
player_Marco-Etcheverry_GWA	player_Marco-Etcheverry	player_GWA
player_Marco-Etcheverry_HmA	player_Marco-Etcheverry	player_HmA
player_Marco-Etcheverry_RdA	player_Marco-Etcheverry	player_RdA
player_Marco-Etcheverry_A/90min	player_Marco-Etcheverry	player_A/90min
player_Carlos-Valderrama_Club	player_Carlos-Valderrama	player_Club
player_Carlos-Valderrama_POS	player_Carlos-Valderrama	player_POS
player_Carlos-Valderrama_GP	player_Carlos-Valderrama	player_GP
player_Carlos-Valderrama_GS	player_Carlos-Valderrama	player_GS
player_Carlos-Valderrama_A	player_Carlos-Valderrama	player_A
player_Carlos-Valderrama_GWA	player_Carlos-Valderrama	player_GWA
player_Carlos-Valderrama_HmA	player_Carlos-Valderrama	player_HmA
player_Carlos-Valderrama_RdA	player_Carlos-Valderrama	player_RdA
player_Carlos-Valderrama_A/90min	player_Carlos-Valderrama	player_A/90min
player_Eric-Wynalda_Club	player_Eric-Wynalda	player_Club
player_Eric-Wynalda_POS	player_Eric-Wynalda	player_POS
player_Eric-Wynalda_GP	player_Eric-Wynalda	player_GP
player_Eric-Wynalda_GS	player_Eric-Wynalda	player_GS
player_Eric-Wynalda_A	player_Eric-Wynalda	player_A
player_Eric-Wynalda_GWA	player_Eric-Wynalda	player_GWA
player_Eric-Wynalda_HmA	player_Eric-Wynalda	player_HmA
player_Eric-Wynalda_RdA	player_Eric-Wynalda	player_RdA
player_Eric-Wynalda_A/90min	player_Eric-Wynalda	player_A/90min
player_Preki_Club	player_Preki	player_Club
player_Preki_POS	player_Preki	player_POS
player_Preki_GP	player_Preki	player_GP
player_Preki_GS	player_Preki	player_GS
player_Preki_A	player_Preki	player_A
player_Preki_GWA	player_Preki	player_GWA
player_Preki_HmA	player_Preki	player_HmA
player_Preki_RdA	player_Preki	player_RdA
player_Preki_A/90min	player_Preki	player_A/90min
player_Robert-Warzycha_Club	player_Robert-Warzycha	player_Club
player_Robert-Warzycha_POS	player_Robert-Warzycha	player_POS
player_Robert-Warzycha_GP	player_Robert-Warzycha	player_GP
player_Robert-Warzycha_GS	player_Robert-Warzycha	player_GS
player_Robert-Warzycha_A	player_Robert-Warzycha	player_A
player_Robert-Warzycha_GWA	player_Robert-Warzycha	player_GWA
player_Robert-Warzycha_HmA	player_Robert-Warzycha	player_HmA
player_Robert-Warzycha_RdA	player_Robert-Warzycha	player_RdA
player_Robert-Warzycha_A/90min	player_Robert-Warzycha	player_A/90min
